"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\calendar.module.scss", "SCSS", 0, 0, 0, 283, 0, 62, 345
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\new-event\new-event.module.scss", "SCSS", 0, 0, 0, 118, 0, 20, 138
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\new-event\page.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 1, 54
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\page.tsx", "TypeScript JSX", 0, 224, 0, 0, 1, 0, 225
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\dashboard\dashboard.module.scss", "SCSS", 0, 0, 0, 127, 1, 25, 153
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\dashboard\page.tsx", "TypeScript JSX", 0, 113, 0, 0, 0, 1, 114
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\guide\guide.module.scss", "SCSS", 0, 0, 0, 42, 0, 7, 49
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\guide\page.tsx", "TypeScript JSX", 0, 146, 0, 0, 0, 2, 148
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\members\members.module.scss", "SCSS", 0, 0, 0, 286, 0, 53, 339
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\members\page.tsx", "TypeScript JSX", 0, 121, 0, 0, 5, 11, 137
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\settings\page.tsx", "TypeScript JSX", 0, 135, 0, 0, 0, 2, 137
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\settings\settings.module.scss", "SCSS", 0, 0, 0, 187, 0, 40, 227
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\shouts\new-shout\new-shout.module.scss", "SCSS", 0, 0, 0, 116, 0, 20, 136
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\shouts\new-shout\page.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 1, 46
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\shouts\page.tsx", "TypeScript JSX", 0, 121, 0, 0, 1, 1, 123
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\shouts\shouts.module.scss", "SCSS", 0, 0, 0, 293, 0, 52, 345
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\tasks\page.tsx", "TypeScript JSX", 0, 119, 0, 0, 1, 5, 125
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\tasks\tasks.module.scss", "SCSS", 0, 0, 0, 121, 0, 28, 149
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\account\account.module.scss", "SCSS", 0, 0, 0, 114, 0, 20, 134
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\account\form.tsx", "TypeScript JSX", 0, 53, 0, 0, 8, 6, 67
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\account\page.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 2, 23
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\actions.ts", "TypeScript", 147, 0, 0, 0, 2, 21, 170
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\create-organization\create-organization.module.scss", "SCSS", 0, 0, 0, 71, 0, 12, 83
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\create-organization\page.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 5, 45
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\home\home.module.scss", "SCSS", 0, 0, 0, 118, 0, 24, 142
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\home\leave.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 2, 16
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\home\logout.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 1, 14
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\home\page.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 9, 66
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(login)\actions.ts", "TypeScript", 108, 0, 0, 0, 0, 20, 128
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(login)\login\login.module.scss", "SCSS", 0, 0, 0, 83, 0, 17, 100
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(login)\login\page.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 7, 52
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(login)\signup\page.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 7, 57
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(login)\signup\signup.module.scss", "SCSS", 0, 0, 0, 71, 0, 12, 83
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\body.css", "CSS", 0, 0, 5, 0, 0, 0, 5
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\globals.scss", "SCSS", 0, 0, 0, 35, 4, 4, 43
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\layout.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 4, 24
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\page.module.scss", "SCSS", 0, 0, 0, 191, 0, 42, 233
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\page.tsx", "TypeScript JSX", 0, 111, 0, 0, 1, 2, 114
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\account-page-layout.module.scss", "SCSS", 0, 0, 0, 23, 0, 7, 30
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\account-page-layout.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 5, 26
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\action-popup\action-popup.module.scss", "SCSS", 0, 0, 0, 22, 0, 3, 25
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\action-popup\action-popup.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 1, 9
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\add-member\add-member.module.scss", "SCSS", 0, 0, 0, 62, 0, 9, 71
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\add-member\add-member.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 1, 14
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\add-task\add-task.module.scss", "SCSS", 0, 0, 0, 71, 0, 13, 84
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\add-task\add-task.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 1, 43
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\delete-member\delete-member.module.scss", "SCSS", 0, 0, 0, 57, 0, 9, 66
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\delete-member\delete-member.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 1, 13
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\delete-task\delete-task.module.scss", "SCSS", 0, 0, 0, 46, 0, 7, 53
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\delete-task\delete-task.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 2, 14
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\edit-member\edit-member.module.scss", "SCSS", 0, 0, 0, 75, 0, 14, 89
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\edit-member\edit-member.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 1, 28
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\navigation-menu\navigation-menu.module.scss", "SCSS", 0, 0, 0, 251, 5, 48, 304
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\navigation-menu\navigation-menu.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 4, 120
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\options-dropdown\options-dropdown.module.scss", "SCSS", 0, 0, 0, 59, 0, 8, 67
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\options-dropdown\options-dropdown.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 1, 26
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\priority-dropdown\priority-dropdown.module.scss", "SCSS", 0, 0, 0, 27, 0, 7, 34
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\priority-dropdown\priority-dropdown.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 1, 11
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\status-dropdown\status-dropdown.module.scss", "SCSS", 0, 0, 0, 28, 0, 7, 35
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\status-dropdown\status-dropdown.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 1, 11
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\top-bar\top-bar.module.scss", "SCSS", 0, 0, 0, 33, 1, 7, 41
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\components\account-pages\top-bar\top-bar.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 2, 12
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\lib\dal.ts", "TypeScript", 14, 0, 0, 0, 0, 5, 19
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\lib\dbconnect.ts", "TypeScript", 35, 0, 0, 0, 0, 6, 41
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\lib\definitions.ts", "TypeScript", 38, 0, 0, 0, 0, 6, 44
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\lib\encrypt.ts", "TypeScript", 24, 0, 0, 0, 0, 4, 28
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\middleware.ts", "TypeScript", 29, 0, 0, 0, 2, 7, 38
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\models\Organization.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\models\User.ts", "TypeScript", 66, 0, 0, 0, 0, 3, 69
"Total", "-", 474, 1807, 5, 3010, 32, 742, 6070
