Date : 2024-11-05 22:02:55
Directory : c:\Users\apres\OneDrive\Documents\GitHub\tabz\src
Total : 69 files,  5296 codes, 32 comments, 742 blanks, all 6070 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| SCSS           |         28 |      3,010 |         11 |        577 |      3,598 |
| TypeScript JSX |         31 |      1,807 |         17 |         90 |      1,914 |
| TypeScript     |          9 |        474 |          4 |         75 |        553 |
| CSS            |          1 |          5 |          0 |          0 |          5 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         69 |      5,296 |         32 |        742 |      6,070 |
| . (Files)                                                                                                                          |          1 |         29 |          2 |          7 |         38 |
| app                                                                                                                                |         38 |      4,017 |         24 |        548 |      4,589 |
| app (Files)                                                                                                                        |          5 |        362 |          5 |         52 |        419 |
| app\(account)                                                                                                                      |         28 |      3,298 |         19 |        433 |      3,750 |
| app\(account)\[userId]                                                                                                             |         28 |      3,298 |         19 |        433 |      3,750 |
| app\(account)\[userId] (Files)                                                                                                     |          1 |        147 |          2 |         21 |        170 |
| app\(account)\[userId]\[organizationId]                                                                                            |         18 |      2,650 |          9 |        331 |      2,990 |
| app\(account)\[userId]\[organizationId]\calendar                                                                                   |          4 |        678 |          1 |         83 |        762 |
| app\(account)\[userId]\[organizationId]\calendar (Files)                                                                           |          2 |        507 |          1 |         62 |        570 |
| app\(account)\[userId]\[organizationId]\calendar\new-event                                                                         |          2 |        171 |          0 |         21 |        192 |
| app\(account)\[userId]\[organizationId]\dashboard                                                                                  |          2 |        240 |          1 |         26 |        267 |
| app\(account)\[userId]\[organizationId]\guide                                                                                      |          2 |        188 |          0 |          9 |        197 |
| app\(account)\[userId]\[organizationId]\members                                                                                    |          2 |        407 |          5 |         64 |        476 |
| app\(account)\[userId]\[organizationId]\settings                                                                                   |          2 |        322 |          0 |         42 |        364 |
| app\(account)\[userId]\[organizationId]\shouts                                                                                     |          4 |        575 |          1 |         74 |        650 |
| app\(account)\[userId]\[organizationId]\shouts (Files)                                                                             |          2 |        414 |          1 |         53 |        468 |
| app\(account)\[userId]\[organizationId]\shouts\new-shout                                                                           |          2 |        161 |          0 |         21 |        182 |
| app\(account)\[userId]\[organizationId]\tasks                                                                                      |          2 |        240 |          1 |         33 |        274 |
| app\(account)\[userId]\account                                                                                                     |          3 |        188 |          8 |         28 |        224 |
| app\(account)\[userId]\create-organization                                                                                         |          2 |        111 |          0 |         17 |        128 |
| app\(account)\[userId]\home                                                                                                        |          4 |        202 |          0 |         36 |        238 |
| app\(login)                                                                                                                        |          5 |        357 |          0 |         63 |        420 |
| app\(login) (Files)                                                                                                                |          1 |        108 |          0 |         20 |        128 |
| app\(login)\login                                                                                                                  |          2 |        128 |          0 |         24 |        152 |
| app\(login)\signup                                                                                                                 |          2 |        121 |          0 |         19 |        140 |
| components                                                                                                                         |         24 |      1,060 |          6 |        160 |      1,226 |
| components\account-pages                                                                                                           |         24 |      1,060 |          6 |        160 |      1,226 |
| components\account-pages (Files)                                                                                                   |          2 |         44 |          0 |         12 |         56 |
| components\account-pages\action-popup                                                                                              |          2 |         30 |          0 |          4 |         34 |
| components\account-pages\add-member                                                                                                |          2 |         75 |          0 |         10 |         85 |
| components\account-pages\add-task                                                                                                  |          2 |        113 |          0 |         14 |        127 |
| components\account-pages\delete-member                                                                                             |          2 |         69 |          0 |         10 |         79 |
| components\account-pages\delete-task                                                                                               |          2 |         58 |          0 |          9 |         67 |
| components\account-pages\edit-member                                                                                               |          2 |        102 |          0 |         15 |        117 |
| components\account-pages\navigation-menu                                                                                           |          2 |        367 |          5 |         52 |        424 |
| components\account-pages\options-dropdown                                                                                          |          2 |         84 |          0 |          9 |         93 |
| components\account-pages\priority-dropdown                                                                                         |          2 |         37 |          0 |          8 |         45 |
| components\account-pages\status-dropdown                                                                                           |          2 |         38 |          0 |          8 |         46 |
| components\account-pages\top-bar                                                                                                   |          2 |         43 |          1 |          9 |         53 |
| lib                                                                                                                                |          4 |        111 |          0 |         21 |        132 |
| models                                                                                                                             |          2 |         79 |          0 |          6 |         85 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                           | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\calendar.module.scss            | SCSS           |        283 |          0 |         62 |        345 |
| c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\new-event\new-event.module.scss | SCSS           |        118 |          0 |         20 |        138 |
| c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\new-event\page.tsx              | TypeScript JSX |         53 |          0 |          1 |         54 |
| c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\calendar\page.tsx                        | TypeScript JSX |        224 |          1 |          0 |        225 |
| c:\Users\apres\OneDrive\Documents\GitHub\tabz\src\app\(account)\[userId]\[organizationId]\dashboard\dashboard.module.scss          | SCSS           |        127 |          1 |         25 |        153 |
